id;platform;url;license;type;file_num_speakers;file_MOS;file_duration_ms;file_duration;file_duration_transcribed;segment_from_ms;segment_from;segment_to_ms;segment_to;segment_duration_ms;segment_duration;segment_speaker_num;segment_speaker_sex;segment_speaker_age;segment_text_len;segment_text_letters;segment_text_words
3011_1;Youtube;https://www.youtube.com/watch?v=bukJfp_yzm0;CC Attribution;Spontaneous;1;3;56447.65625;0:00:56;0:00:56;4484.9611;00:00:04.484;5656.5409;00:00:05.656;1171.5798;00:00:01.171;1;F;<14;10;9;1
3011_2;Youtube;https://www.youtube.com/watch?v=bukJfp_yzm0;CC Attribution;Spontaneous;1;3;56447.65625;0:00:56;0:00:56;5660.3202;00:00:05.660;17291.8015;00:00:17.291;11631.4813;00:00:11.631;1;F;<14;97;74;19
3011_3;Youtube;https://www.youtube.com/watch?v=bukJfp_yzm0;CC Attribution;Spontaneous;1;3;56447.65625;0:00:56;0:00:56;17733.9783;00:00:17.733;24812.6077;00:00:24.812;7078.6294;00:00:07.078;1;F;<14;49;41;7
3011_4;Youtube;https://www.youtube.com/watch?v=bukJfp_yzm0;CC Attribution;Spontaneous;1;3;56447.65625;0:00:56;0:00:56;25339.5366;00:00:25.339;37007.0749;00:00:37.007;11667.5383;00:00:11.667;1;F;<14;97;74;18
3011_5;Youtube;https://www.youtube.com/watch?v=bukJfp_yzm0;CC Attribution;Spontaneous;1;3;56447.65625;0:00:56;0:00:56;37340.5503;00:00:37.340;45614.7393;00:00:45.614;8274.189;00:00:08.274;1;F;<14;88;72;16
3011_6;Youtube;https://www.youtube.com/watch?v=bukJfp_yzm0;CC Attribution;Spontaneous;1;3;56447.65625;0:00:56;0:00:56;46235.5434;00:00:46.235;48771.4467;00:00:48.771;2535.9033;00:00:02.535;1;F;<14;33;25;8
3007_1;Youtube;https://www.youtube.com/watch?v=0TkGoII_jQQ;CC Attribution;Spontaneous;1;3;116169.375;0:01:56;0:01:56;7946.0136;00:00:07.946;13159.1791;00:00:13.159;5213.1655;00:00:05.213;1;M;30-50;75;60;14
3007_2;Youtube;https://www.youtube.com/watch?v=0TkGoII_jQQ;CC Attribution;Spontaneous;1;3;116169.375;0:01:56;0:01:56;16428.0249;00:00:16.428;20912.1519;00:00:20.912;4484.127;00:00:04.484;1;M;30-50;62;51;10
3007_3;Youtube;https://www.youtube.com/watch?v=0TkGoII_jQQ;CC Attribution;Spontaneous;1;3;116169.375;0:01:56;0:01:56;24262.5804;00:00:24.262;28497.2743;00:00:28.497;4234.6939;00:00:04.234;1;M;30-50;56;46;10
3007_4;Youtube;https://www.youtube.com/watch?v=0TkGoII_jQQ;CC Attribution;Spontaneous;1;3;116169.375;0:01:56;0:01:56;37127.7681;00:00:37.127;45452.7529;00:00:45.452;8324.9848;00:00:08.324;1;M;30-50;71;57;10
3007_5;Youtube;https://www.youtube.com/watch?v=0TkGoII_jQQ;CC Attribution;Spontaneous;1;3;116169.375;0:01:56;0:01:56;56304.4541;00:00:56.304;68785.9398;00:01:08.785;12481.4857;00:00:12.481;1;M;30-50;212;170;34
3007_6;Youtube;https://www.youtube.com/watch?v=0TkGoII_jQQ;CC Attribution;Spontaneous;1;3;116169.375;0:01:56;0:01:56;76957.0839;00:01:16.957;83785.2291;00:01:23.785;6828.1452;00:00:06.828;1;M;30-50;73;59;13
3007_7;Youtube;https://www.youtube.com/watch?v=0TkGoII_jQQ;CC Attribution;Spontaneous;1;3;116169.375;0:01:56;0:01:56;91367.0204;00:01:31.367;98037.9637;00:01:38.037;6670.9433;00:00:06.670;1;M;30-50;87;72;14
3007_8;Youtube;https://www.youtube.com/watch?v=0TkGoII_jQQ;CC Attribution;Spontaneous;1;3;116169.375;0:01:56;0:01:56;101639.8118;00:01:41.639;105908.5193;00:01:45.908;4268.7075;00:00:04.268;1;M;30-50;67;58;9
3007_9;Youtube;https://www.youtube.com/watch?v=0TkGoII_jQQ;CC Attribution;Spontaneous;1;3;116169.375;0:01:56;0:01:56;113385.6054;00:01:53.385;115396.8254;00:01:55.396;2011.22;00:00:02.011;1;M;30-50;25;21;4
3014_1;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;547.619;00:00:00.547;1658.7302;00:00:01.658;1111.1112;00:00:01.111;1;F;50-70;9;8;1
3014_2;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;1674.6032;00:00:01.674;2809.5238;00:00:02.809;1134.9206;00:00:01.134;2;F;<14;9;8;1
3014_3;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;2809.5238;00:00:02.809;3600.1791;00:00:03.600;790.6553;00:00:00.790;1;F;50-70;8;7;1
3014_4;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;3600.1791;00:00:03.600;5746.0317;00:00:05.746;2145.8526;00:00:02.145;2;F;<14;20;15;2
3014_5;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;5746.0317;00:00:05.746;6746.0317;00:00:06.746;1000;00:00:01.000;1;F;50-70;10;8;2
3014_6;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;6728.0975;00:00:06.728;9391.864;00:00:09.391;2663.7665;00:00:02.663;2;F;<14;24;20;4
3014_7;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;9391.864;00:00:09.391;10895.6508;00:00:10.895;1503.7868;00:00:01.503;1;F;50-70;6;5;1
3014_8;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;11451.2064;00:00:11.451;20952.1837;00:00:20.952;9500.9773;00:00:09.500;3;F;19-29;177;148;25
3014_9;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;20952.1837;00:00:20.952;42066.1973;00:00:42.066;21114.0136;00:00:21.114;1;F;50-70;246;192;32
3014_10;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;42096.4762;00:00:42.096;48293.9569;00:00:48.293;6197.4807;00:00:06.197;1;F;50-70;62;51;11
3014_11;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;48818.6984;00:00:48.818;52368.449;00:00:52.368;3549.7506;00:00:03.549;1;F;50-70;56;45;10
3014_12;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;52534.4716;00:00:52.534;66627.6417;00:01:06.627;14093.1701;00:00:14.093;3;F;19-29;264;217;42
3014_13;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;66794.3084;00:01:06.794;68063.5057;00:01:08.063;1269.1973;00:00:01.269;4;F;19-29;26;20;5
3014_14;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;68968.9115;00:01:08.968;69889.6712;00:01:09.889;920.7597;00:00:00.920;5;M;<14;10;8;2
3014_15;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;69936.911;00:01:09.936;71024.6009;00:01:11.024;1087.6899;00:00:01.087;4;F;19-29;17;12;4
3014_16;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;71286.1173;00:01:11.286;73127.3872;00:01:13.127;1841.2699;00:00:01.841;5;M;<14;18;14;4
3014_17;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;73214.6888;00:01:13.214;74254.6888;00:01:14.254;1040;00:00:01.040;6;M;<14;8;7;1
3014_18;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;74460.7205;00:01:14.460;75754.3713;00:01:15.754;1293.6508;00:00:01.293;4;F;19-29;25;19;5
3014_19;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;75794.0539;00:01:15.794;77474.0539;00:01:17.474;1680;00:00:01.680;5;M;<14;16;10;3
3014_20;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;77846.4626;00:01:17.846;79877.6644;00:01:19.877;2031.2018;00:00:02.031;4;F;19-29;31;24;6
3014_21;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;82092.4943;00:01:22.092;84521.0657;00:01:24.521;2428.5714;00:00:02.428;5;M;<14;26;21;5
3014_22;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;84941.7007;00:01:24.941;92220.4127;00:01:32.220;7278.712;00:00:07.278;7;F;<14;80;62;18
3014_23;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;92220.4127;00:01:32.220;96131.6031;00:01:36.131;3911.1904;00:00:03.911;4;F;19-29;64;50;12
3014_24;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;96706.7051;00:01:36.706;97778.1337;00:01:37.778;1071.4286;00:00:01.071;8;M;<14;8;7;1
3014_25;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;98635.2766;00:01:38.635;99413.0544;00:01:39.413;777.7778;00:00:00.777;4;F;19-29;11;7;3
3014_26;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;99651.1496;00:01:39.651;101229.4081;00:01:41.229;1578.2585;00:00:01.578;8;M;<14;18;15;3
3014_27;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;102143.2131;00:01:42.143;102817.8163;00:01:42.817;674.60320000001;00:00:00.674;4;F;19-29;8;5;2
3014_28;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;103615.7551;00:01:43.615;105949.0885;00:01:45.949;2333.3334;00:00:02.333;9;F;<14;16;10;3
3014_29;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;105988.771;00:01:45.988;115787.7891;00:01:55.787;9799.0181;00:00:09.799;3;F;19-29;186;153;31
3014_30;Youtube;https://www.youtube.com/watch?v=--4WT21kAYc;CC Attribution;Spontaneous;9;5;124969.7265625;0:02:04;0:02:04;115787.7891;00:01:55.787;122585.4331;00:02:02.585;6797.644;00:00:06.797;3;F;19-29;125;109;16
3013_1;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;8023.8095;00:00:08.023;12168.7392;00:00:12.168;4144.9297;00:00:04.144;1;F;19-29;48;40;7
3013_2;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;15380.9978;00:00:15.380;21500.6689;00:00:21.500;6119.6711;00:00:06.119;1;F;19-29;75;61;14
3013_3;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;24381.5079;00:00:24.381;29825.4331;00:00:29.825;5443.9252;00:00:05.443;1;F;19-29;67;53;13
3013_4;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;30349.7619;00:00:30.349;37397.6394;00:00:37.397;7047.8775;00:00:07.047;1;F;19-29;52;40;8
3013_5;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;40281.4217;00:00:40.281;53617.9773;00:00:53.617;13336.5556;00:00:13.336;1;F;19-29;117;94;19
3013_6;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;56524.5352;00:00:56.524;58709.5737;00:00:58.709;2185.0385;00:00:02.185;1;F;19-29;30;24;6
3013_7;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;59310.2494;00:00:59.310;60397.551;00:01:00.397;1087.3016;00:00:01.087;1;F;19-29;16;12;3
3013_8;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;61687.0539;00:01:01.687;63925.1492;00:01:03.925;2238.0953;00:00:02.238;1;F;19-29;31;23;7
3013_9;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;66821.9746;00:01:06.821;68337.8476;00:01:08.337;1515.873;00:00:01.515;1;F;19-29;23;18;5
3013_10;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;71111.1611;00:01:11.111;73050.2812;00:01:13.050;1939.1201;00:00:01.939;1;F;19-29;26;21;5
3013_11;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;74137.9468;00:01:14.137;77521.4966;00:01:17.521;3383.5498;00:00:03.383;1;F;19-29;33;25;7
3013_12;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;80087.7959;00:01:20.087;82524.3039;00:01:22.524;2436.508;00:00:02.436;1;F;19-29;30;23;6
3013_13;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;90715.2761;00:01:30.715;92326.3872;00:01:32.326;1611.1111;00:00:01.611;1;F;19-29;15;11;3
3013_14;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;93239.0856;00:01:33.239;95984.313;00:01:35.984;2745.2274;00:00:02.745;1;F;19-29;35;28;7
3013_15;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;99197.5352;00:01:39.197;101602.2971;00:01:41.602;2404.7619;00:00:02.404;1;F;19-29;28;21;6
3013_16;Youtube;https://www.youtube.com/watch?v=VbxytH8veCY;CC Attribution;Read;1;4;211208.65885417;0:03:31;0:03:31;109619.1622;00:01:49.619;117792.2041;00:01:57.792;8173.0419;00:00:08.173;1;F;19-29;99;78;18
